RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JC432746,,9/14/2019 5:52,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/14/2019 7:15,UNABLE TO DETERMINE,NOT APPLICABLE,3999,N,ASHLAND AVE,1922,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,7,9,41.95420204,-87.66889863,POINT (-87.668898624726 41.954202043727)
JC432737,,9/14/2019 5:30,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",9/14/2019 5:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1415,N,AUSTIN BLVD,2531,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,7,9,41.90611283,-87.77535152,POINT (-87.775351520312 41.906112827228)
JC433463,,9/14/2019 5:22,25,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/14/2019 19:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4910,N,MONTICELLO AVE,1712,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,7,9,41.97052708,-87.71968391,POINT (-87.719683908189 41.97052707778)
JC443087,,9/14/2019 5:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/21/2019 19:20,UNABLE TO DETERMINE,UNABLE TO DETERMINE,701,S,AUSTIN BLVD,1513,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,6,0,5,7,9,41.87124114,-87.77418411,POINT (-87.774184113713 41.871241138293)
JC432723,N,9/14/2019 5:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,9/14/2019 5:23,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),FOLLOWING TOO CLOSELY,6398,S,ARCHER AVE,811,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,7,9,41.79247037,-87.78178536,POINT (-87.781785362322 41.792470366847)
JC432716,,9/14/2019 4:55,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,,"OVER $1,500",9/14/2019 4:57,IMPROPER TURNING/NO SIGNAL,EQUIPMENT - VEHICLE CONDITION,1300,S,THROOP ST,1233,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,7,9,41.86515574,-87.65896858,POINT (-87.658968576268 41.86515574054)
JC432735,,9/14/2019 4:40,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,UNKNOWN,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,Y,"OVER $1,500",9/14/2019 4:45,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1601,W,87TH ST,2221,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,7,9,41.73567912,-87.66312288,POINT (-87.663122884069 41.735679123095)
JC432704,,9/14/2019 4:25,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,UNKNOWN INTERSECTION TYPE,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",9/14/2019 4:26,DRIVING ON WRONG SIDE/WRONG WAY,UNABLE TO DETERMINE,4508,W,MONTROSE AVE,1722,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,4,7,9,41.96090451,-87.74152365,POINT (-87.741523648431 41.960904511434)
JC432705,,9/14/2019 4:04,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",9/14/2019 4:04,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),FOLLOWING TOO CLOSELY,710,E,68TH ST,321,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,7,9,41.77139816,-87.6077012,POINT (-87.607701204391 41.771398164193)
JC432686,,9/14/2019 3:42,40,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",9/14/2019 3:42,FOLLOWING TOO CLOSELY,NOT APPLICABLE,12599,S,TORRENCE AVE,433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,3,7,9,41.66631608,-87.55871727,POINT (-87.558717273959 41.666316083484)
JC432678,,9/14/2019 3:22,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",9/14/2019 3:22,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,100,E,RANDOLPH ST,114,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,3,7,9,41.88457722,-87.62440363,POINT (-87.62440363391 41.884577219487)
JC432687,,9/14/2019 3:20,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",9/14/2019 3:21,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),1108,N,KEYSTONE AVE,1111,,,,,,,3,"REPORTED, NOT EVIDENT",1,0,0,0,1,0,0,3,7,9,41.90114939,-87.72763346,POINT (-87.727633463234 41.901149389521)
JC432684,,9/14/2019 3:20,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",9/14/2019 3:40,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1200,W,96TH ST,2213,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,1,0,3,7,9,41.71931528,-87.65301238,POINT (-87.653012376501 41.719315280587)
JC432676,,9/14/2019 3:15,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",9/14/2019 3:29,NOT APPLICABLE,NOT APPLICABLE,6210,S,TROY ST,823,,,,,,,5,NO INDICATION OF INJURY,0,0,0,0,0,1,0,3,7,9,41.78043172,-87.70210564,POINT (-87.702105637453 41.78043171894)
JC432679,,9/14/2019 3:13,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",9/14/2019 3:13,DISTRACTION - FROM OUTSIDE VEHICLE,NOT APPLICABLE,4227,N,PULASKI RD,1723,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,3,7,9,41.95806086,-87.72759761,POINT (-87.727597613311 41.958060861612)
JC432672,,9/14/2019 3:05,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",9/14/2019 3:09,IMPROPER LANE USAGE,NOT APPLICABLE,5040,S,PULASKI RD,815,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,3,7,9,41.80112634,-87.72353676,POINT (-87.723536756719 41.80112633971)
JC432670,,9/14/2019 2:55,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",9/14/2019 3:08,UNABLE TO DETERMINE,NOT APPLICABLE,2989,N,MILWAUKEE AVE,2523,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,7,9,41.9357579,-87.71813934,POINT (-87.718139341422 41.935757897057)
JC432665,Y,9/14/2019 2:48,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT ON GRADE,DRY,WORN SURFACE,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",9/14/2019 3:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5806,S,MARSHFIELD AVE,715,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,7,9,41.78834599,-87.66579741,POINT (-87.665797412516 41.788345990419)
JC432667,,9/14/2019 2:44,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,"FIVE POINT, OR MORE",,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",9/14/2019 2:45,IMPROPER LANE USAGE,FAILING TO YIELD RIGHT-OF-WAY,730,W,GRAND AVE,1214,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,7,9,41.89129738,-87.64713092,POINT (-87.647130914831 41.89129737612)
JC432648,,9/14/2019 2:41,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",9/14/2019 2:41,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,6700,S,DAMEN AVE,726,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,1,1,0,0,2,7,9,41.77203092,-87.67385954,POINT (-87.673859538093 41.772030915088)
JC444373,,9/14/2019 2:30,30,NO CONTROLS,UNKNOWN,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",9/22/2019 21:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2000,W,ARMITAGE AVE,1432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,7,9,41.91786481,-87.67774954,POINT (-87.677749540697 41.917864805963)
JC432652,,9/14/2019 2:27,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",9/14/2019 2:28,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,5505,W,DIVERSEY AVE,2514,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,7,9,41.93119697,-87.76400601,POINT (-87.764006005207 41.931196969688)
JC432646,,9/14/2019 2:24,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",9/14/2019 2:27,DRIVING ON WRONG SIDE/WRONG WAY,NOT APPLICABLE,1320,N,DAMEN AVE,1424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,2,7,9,41.90565484,-87.67747705,POINT (-87.677477050126 41.905654841845)
JC432645,,9/14/2019 2:13,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",9/14/2019 2:13,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,1600,W,115TH ST,2234,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,2,7,9,41.68492729,-87.66177923,POINT (-87.661779225549 41.684927289624)
JC432643,,9/14/2019 2:10,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/14/2019 2:11,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,6255,S,CALUMET AVE,311,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,7,9,41.78040888,-87.61703657,POINT (-87.61703657101 41.780408875863)
JC432640,,9/14/2019 2:10,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",9/14/2019 2:12,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,1152,S,HOMAN AVE,1133,,,,,,,5,INCAPACITATING INJURY,4,0,1,3,0,2,0,2,7,9,41.86659264,-87.71069703,POINT (-87.710697026947 41.86659264404)
JC433155,,9/14/2019 2:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO FRONT,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",9/14/2019 14:06,IMPROPER BACKING,NOT APPLICABLE,4600,S,WESTERN AVE,922,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,7,9,41.81020698,-87.6846363,POINT (-87.684636303983 41.810206979261)
JC432639,,9/14/2019 2:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/14/2019 2:25,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3013,W,COLUMBUS AVE,835,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,2,7,9,41.75229494,-87.69809608,POINT (-87.698096081086 41.75229494056)
JC432627,,9/14/2019 2:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",9/14/2019 2:00,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,1999,E,83RD ST,412,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,7,9,41.74422346,-87.57595747,POINT (-87.57595747045 41.744223457266)
JC432603,,9/14/2019 1:16,35,NO CONTROLS,NOT FUNCTIONING,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",9/14/2019 1:19,UNABLE TO DETERMINE,PHYSICAL CONDITION OF DRIVER,4554,S,DREXEL BLVD,221,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,7,9,41.81158453,-87.6045627,POINT (-87.604562699533 41.811584530228)
JC434290,,9/14/2019 1:00,35,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,REAR TO FRONT,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",9/15/2019 13:20,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,1340,S,CANAL ST,124,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,1,7,9,41.86452119,-87.6393041,POINT (-87.639304099636 41.864521193744)
JC433266,,9/14/2019 1:00,30,NO CONTROLS,NO CONTROLS,UNKNOWN,DARKNESS,SIDESWIPE SAME DIRECTION,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/14/2019 15:30,UNABLE TO DETERMINE,NOT APPLICABLE,333,W,ERIE ST,1831,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,7,9,41.89384186,-87.63702799,POINT (-87.637027994021 41.893841857276)
JC432608,,9/14/2019 1:00,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,N,,Y,$500 OR LESS,9/14/2019 1:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5600,S,JUSTINE ST,713,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,1,7,9,41.79213067,-87.6634492,POINT (-87.663449197709 41.792130667559)
JC432605,,9/14/2019 1:00,35,STOP SIGN/FLASHER,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,9/14/2019 1:17,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7400,S,CHAMPLAIN AVE,323,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,1,7,9,41.76024998,-87.60923869,POINT (-87.609238684861 41.760249976841)
JC434218,,9/14/2019 0:55,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/15/2019 11:00,FAILING TO REDUCE SPEED TO AVOID CRASH,FAILING TO YIELD RIGHT-OF-WAY,341,N,CICERO AVE,1113,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,0,7,9,41.88659447,-87.74535044,POINT (-87.745350439932 41.886594469117)
JC432616,,9/14/2019 0:40,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",9/14/2019 1:35,IMPROPER OVERTAKING/PASSING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,130,W,ONTARIO ST,1832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,7,9,41.89331898,-87.63256861,POINT (-87.632568606637 41.8933189813)
JC432599,,9/14/2019 0:30,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",9/14/2019 1:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6800,S,ASHLAND AVE,725,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,7,9,41.77027876,-87.66411243,POINT (-87.664112432605 41.770278756122)
JC432576,,9/14/2019 0:25,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",9/14/2019 0:25,IMPROPER BACKING,NOT APPLICABLE,4459,N,KEDZIE AVE,1724,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,7,0,0,7,9,41.96296657,-87.70815262,POINT (-87.708152616496 41.962966566908)
JC432651,N,9/14/2019 0:05,30,STOP SIGN/FLASHER,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,T-INTERSECTION,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,9/14/2019 0:51,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,3724,W,LAWRENCE AVE,1712,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,0,7,9,41.96841958,-87.72177413,POINT (-87.721774125018 41.968419582319)
JC432856,,9/14/2019 0:01,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,OTHER,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/14/2019 9:30,UNABLE TO DETERMINE,NOT APPLICABLE,1130,W,16TH ST,1232,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,7,9,41.85990768,-87.65433669,POINT (-87.654336691163 41.859907676139)
JC433089,,9/14/2019 0:00,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",9/14/2019 13:12,NOT APPLICABLE,NOT APPLICABLE,556,E,84TH ST,632,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,7,9,41.7421679,-87.60997915,POINT (-87.609979152783 41.742167898011)
JC432808,Y,9/14/2019 0:00,25,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",9/14/2019 8:30,UNABLE TO DETERMINE,NOT APPLICABLE,5101,N,RAVENSWOOD AVE,2032,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,7,9,41.97432681,-87.67421121,POINT (-87.674211210971 41.974326807986)
JC444149,,9/13/2019 23:55,30,NO CONTROLS,NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",REAR END,OTHER,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",9/22/2019 17:10,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3245,W,NORTH AVE,1422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,23,6,9,41.90997981,-87.70882568,POINT (-87.708825675533 41.909979805809)
JC432540,,9/13/2019 23:40,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",9/13/2019 23:45,DISTRACTION - FROM OUTSIDE VEHICLE,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",3002,S,DRAKE AVE,1032,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,23,6,9,41.83875801,-87.71356398,POINT (-87.713563974992 41.838758010339)
JC432525,,9/13/2019 23:36,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",9/13/2019 23:36,DISREGARDING TRAFFIC SIGNALS,FAILING TO REDUCE SPEED TO AVOID CRASH,3598,W,26TH ST,1024,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,23,6,9,41.84449589,-87.71472882,POINT (-87.714728822977 41.844495890606)
